SEGMENTID,STREET,DIRECTION,FROM_STREET,TO_STREET,LENGTH, STREET_HEADING, COMMENTS,START_LONGITUDE, START_LATITUDE,END_LONGITUDE, END_LATITUDE, CURRENT_SPEED, LAST_UPDATED
155,Ashland,SB,Milwaukee,Chicago,0.55,N,,-87.66769678,41.90401826,-87.66747515,41.8960747,23,40:02.0
987,Torrence,SB,99th,103rd,0.5,S,,-87.5599585,41.7154067,-87.55984874,41.70816921,29,40:27.0
382,Western,SB,51st,55th,0.5,S,Western Blvd Run Parallel on the East Side,-87.6844074,41.80114722,-87.68422512,41.79387762,29,40:09.0
1192,Dr Martin L King Jr,NB,24th,Cermak,0.254644034,S,,-87.61815866,41.84934828,-87.619411,41.85300071,-1,40:29.0
1184,Sheridan,NB,Pratt,Touhy,0.519765416,N,,-87.66073575,42.00553898,-87.66326941,42.01282886,-1,40:29.0
557,Cermak,WB,Stewart,Halsted,0.49,W,,-87.63692493,41.85296008,-87.64645995,41.85281978,29,40:13.0
1053,Washington,EB,Halsted,Wacker,0.53,W,,-87.64740477,41.88303156,-87.63702646,41.88314431,16,40:25.0
159,Ashland,SB,Diversey,Fullerton,0.5,N,,-87.66857775,41.93240461,-87.66832954,41.92515264,18,40:02.0
506,Archer,EB,Halsted,Cermak,0.72,S,,-87.64652251,41.84704646,-87.63481616,41.85272785,-1,40:19.0
44,Pulaski,NB,Lake,Chicago,0.68,N,,-87.72562123,41.88546585,-87.72599063,41.89536668,27,40:05.0
790,Peterson,WB,Damen,Western,0.5,W,,-87.67985777,41.99082463,-87.68969106,41.99065792,25,40:22.0
96,Pulaski,SB,Bryn Mawr,Foster,0.5,N,,-87.72868425,41.98283444,-87.728485,41.97553491,-1,40:06.0
182,87th,EB,Cicero,Kostner,0.51,W,IDOT Signals Possible,-87.74105887,41.7343869,-87.73116188,41.7345524,-1,40:03.0
1260,Halsted,SB,Division,Chicago,0.5,N,,-87.648284,41.903636,-87.647935,41.896397,24,40:28.0
208,North,WB,Damen,Western,0.5,W,,-87.67758465,41.91060995,-87.68721931,41.91045807,18,40:04.0
1224,Halsted,NB,Chicago,Division,0.5,N,,-87.647555,41.896397,-87.647904,41.903636,27,40:27.0
1200,Halsted,NB,95th,91st,0.5,S,,-87.643022,41.721458,-87.643226,41.728767,-1,40:21.0
126,Ashland,NB,Belmont,Addison,0.5,N,,-87.66847791,41.93969544,-87.66867435,41.94698905,20,40:06.0
1126,Cicero,NB,31st,Cermak,1.000915218,S,Outside City Limits,-87.74356486,41.83674551,-87.74406669,41.85124331,30,40:22.0
465,95th,WB,Racine,Ashland,0.5,W,,-87.65294234,41.72142662,-87.66263176,41.72133237,29,40:18.0
277,87th,WB,Stony Island,Cottage Grove,1,E,,-87.58563499,41.73705067,-87.60482128,41.73678661,31,40:15.0
283,Irving Park,EB,Narragansett,Austin,0.5,W,,-87.78656068,41.9527793,-87.776776,41.95291894,23,40:15.0
106,Ashland,NB,59th,55th,0.5,S,,-87.66421117,41.78674577,-87.66439847,41.7940233,18,40:06.0
303,Irving Park,WB,Narragansett,Oak Park,0.5,W,,-87.78655834,41.95305371,-87.79627121,41.9528801,-1,40:13.0
1302,Balbo,EB,Michigan,Lake Shore Dr,0.52,E,,-87.627565,41.872992,-87.617312,41.873156,20,40:27.0
286,Irving Park,EB,Laramie,Cicero,0.5,W,,-87.75714896,41.95316252,-87.74730613,41.95328117,25,40:15.0
715,Dr Martin L King Jr,SB,Pershing,43rd,0.5,S,,-87.617172,41.82382698,-87.61696619,41.81663678,-1,40:17.0
65,Pulaski,SB,83rd,87th,0.5,S,IDOT Signals possible in this segment,-87.72192879,41.74218196,-87.72167768,41.73486055,-1,40:05.0
